Frequency (Hz),OUT (V),Phase (deg),IN (V),Phase (deg),hand (V),Phase (deg)
0,0.044866296397642,0,0.001601766427123581,0,0.01804618186832092,180
17.69134963768116,0.02434771255322154,171.8623418452416,0.0001815353332385812,136.9375316320683,0.003305112668402227,157.7893234660581
35.38269927536232,0.02911974693039544,163.7781668838287,0.0002305995823200021,160.7413186244831,0.007028135652271913,128.8492851388063
53.07404891304348,0.04076773984876982,157.6895821058964,0.0005431466407428727,100.0712728841741,0.03470510783396969,122.9293830202817
70.76539855072464,0.09069819344809653,150.4318351320491,0.0001161282796538809,39.35142886367052,0.005120533307468545,102.2230819000223
88.4567481884058,0.2555254362621881,144.5392293933228,9.649195439565202e-05,36.61775389407328,0.003117094267131978,101.8628846607518
106.148097826087,0.05002391837681206,139.3756718302143,0.0001631275737298249,19.355718998018,0.001818540054923888,85.62472729387511
123.8394474637681,0.02707980172134231,134.8365533845699,0.0001274185746705445,172.8823381929997,0.00152013556531027,78.61228389534072
141.5307971014493,0.018338313529594,131.0998186108965,0.0001181866748619082,32.34109810892664,0.00356767826095318,63.44130152431393
159.2221467391304,0.01310514679551517,126.8206718162447,0.00010397260540977,4.20970705977532,0.00278993888295948,17.38590705328756
176.9134963768116,0.01268516417588103,125.3292701181491,0.0001323663655745081,177.4495744940335,0.00141930780223963,150.934813173126
194.6048460144928,0.01005934188778692,122.1023327167952,0.0001091282246883551,161.4502961500213,0.0005909237982022101,154.4821261611011
212.2961956521739,0.008592809451223156,119.9475808524139,0.0001517691788135123,19.31188846199395,0.0003941086308773017,113.7784397626942
229.9875452898551,0.007523645959055418,118.0500280479578,0.0001477531855928455,1.406972956212146,0.0006890821221943956,106.30952552548
247.6788949275362,0.006821664665316566,117.0507240554457,0.0001380561266555252,178.6027868163937,0.001530587403271013,81.19655570301494
265.3702445652174,0.006042333834407435,113.6980535317779,0.0001522681331596317,1.460361173665501,0.0007194968845201645,80.7082089892392
283.0615942028986,0.005546296024000143,112.2563331385108,0.000138626454404985,17.99448398943014,8.494824099554047e-05,30.68731564432274
300.7529438405797,0.005112210461721389,111.0460420769558,0.0001647388459069599,10.35791297974713,0.0004039730479655254,146.7138668312102
318.4442934782609,0.00476228245385888,109.2338647266132,0.0001594969632846045,178.1284530429675,0.0002615210913091478,85.55872367189669
336.1356431159421,0.004531481395699064,107.2977965756524,0.0001354173041965871,7.243667826378479,0.001784745127414659,127.4112454023671
353.8269927536232,0.004166417093122808,107.8776326526364,0.0001546042783142132,1.57388769205906,0.006337976213958723,128.7279592493304
371.5183423913044,0.00396057373571364,106.8770390227025,0.0001504197580723853,9.81971501619231,0.001753553098198446,117.2394339727194
389.2096920289855,0.003729656835636314,105.958341678817,0.0001746250854378347,177.8733162522748,0.001102973668943575,100.5640246126105
406.9010416666667,0.003522366675677759,104.4715540474925,0.0001754158276385508,167.7011654990412,0.0004871381458300626,110.0590972966035
424.5923913043479,0.003241026286393139,106.0162689312553,0.0001307462791330594,5.805305737354975,0.001093077809933714,130.6756105472501
442.283740942029,0.003150102076210573,102.5822195152957,0.0001652976782729924,10.06232236184183,0.00193181990997023,151.694117350364
459.9750905797102,0.003034392162625069,103.3699264068332,0.0001680099437579788,178.4253560240724,0.0009938607294357306,154.0959707296755
477.6664402173913,0.002914786036361347,103.1596769634303,0.0001338017473113554,170.6148685631655,0.0004442878960073328,142.9927219518138
495.3577898550725,0.002811023830369423,101.2803423228543,9.675914756490038e-05,168.9068559454234,0.0005571594847867881,29.18881645343033
513.0491394927536,0.002640423284709292,102.6443247624748,9.650200317281971e-05,168.4945859076005,0.000246997896868468,168.0704412877706
530.7404891304348,0.002541107064065165,100.815550824108,0.0001548471634622352,167.9969045449612,0.000802038477224883,171.6802449726226
548.431838768116,0.002454596707701593,100.6790466489796,0.0001750193775146692,173.2936318680609,0.003694928063218974,156.1649081166862
566.1231884057971,0.002386077271458269,99.9399332479296,0.0001443802694561436,9.707656616962765,0.0006164640324686717,73.97786087518577
583.8145380434783,0.002275995605991525,99.74908401113865,0.000172356076377953,179.5738157060831,0.0005539748011223954,54.05407244410107
