Frequency (Hz),OUT (V),Phase (deg),IN (V),Phase (deg),hand (V),Phase (deg)
0,0.006307318808631607,0,0.001709725548265122,0,0.02015656170956681,180
23.58846618357488,0.002503000823703117,1.541485063473796,0.0005805409972450843,178.6936308494992,0.02119894429181265,5.927294234628108
47.17693236714976,0.0006977712127272542,177.3820425066146,0.0005397624277385794,173.7610295744912,0.03621466531488724,7.389022814118947
70.76539855072464,0.0004603412358912907,178.7823654603084,0.0003707700654820005,173.2931778277281,0.01882769210759621,6.873499290956001
94.35386473429952,3.094353437358358e-05,27.07436389704158,3.676217598226481e-05,75.35230917255642,0.0004690624112855875,144.9911002667915
117.9423309178744,1.495410450430949e-05,120.9767872981823,6.315821701792408e-05,50.30883593521106,0.0006971782285998601,57.71431882979404
141.5307971014493,5.166361875337761e-05,46.11843539789972,6.51135593001659e-05,14.91948636954741,0.003755455422016703,44.65514430048501
165.1192632850241,2.314815234593175e-05,104.3136070875951,6.705205302663367e-06,115.7937261793672,0.002960459828468864,51.38348929589404
188.707729468599,1.779210234545458e-05,30.41224429276904,6.925857507528032e-05,174.4763183600332,0.0004129777360707443,113.2089710715403
212.2961956521739,1.041878939369324e-05,115.2988093729251,4.312140811711016e-05,155.6935411601469,0.0001068586832514039,179.4983504393275
235.8846618357488,2.772143613109772e-05,126.0228894474637,3.853382739976406e-05,15.43272025290744,0.0009974379594035465,34.15807562896524
259.4731280193237,2.929993241401553e-05,26.5141302317151,5.460617251243856e-05,143.946841378032,0.001404405757769028,42.19930607928128
283.0615942028986,4.718463673673956e-05,118.8757372567375,5.991799530682698e-05,105.1967951402951,0.0009125839118386741,60.6061257281052
306.6500603864735,6.296738689093511e-05,163.4178261768872,4.738008313341429e-05,147.896191793223,0.0008678533404620537,64.49349023668577
330.2385265700483,4.813190759904653e-05,168.4743416336141,2.124294141536509e-05,92.47377275744425,0.003644241201573061,33.24886305000327
353.8269927536232,3.611707964913563e-05,178.726738752021,9.581137987684891e-06,105.2898244906609,0.005978206156371666,27.40640070749214
377.4154589371981,2.568691806942757e-05,102.3127353909994,7.948863291431106e-05,52.46784174761356,0.001748593165724102,26.16653429547194
401.003925120773,1.732706018566054e-05,84.74457905139913,5.438630097209451e-05,108.9622308991122,9.592817303955234e-05,149.1004889469786
424.5923913043479,1.035315391171759e-05,145.7764794009076,2.387485082426209e-05,47.55666261189413,0.0007949839533022116,167.7419298847131
448.1808574879227,5.341735126068884e-05,1.09472168945532,1.038996995254414e-05,1.274304267996824,0.002358029340047043,165.1378119050055
471.7693236714976,9.329047074366967e-06,177.7144741792233,4.675971806229546e-05,167.4401186126995,0.0009938668878991194,6.929488083706514
495.3577898550725,2.937716894372703e-06,40.80532430086183,1.596689065172495e-05,148.2089005847912,0.0005525254469730958,105.0451124610121
518.9462560386473,1.501206277018788e-06,104.9425390940919,1.102978429235219e-05,41.43300768857694,0.0005389432119286274,130.5834813820343
542.5347222222223,2.352318520178726e-05,115.980622341277,3.335796685796796e-05,11.84008191510479,0.003209000412516497,118.9778544719463
566.1231884057971,4.017904547485284e-05,48.25155597320163,2.657368888211263e-05,40.91573619272161,0.002241208835992565,115.8043396598906
589.711654589372,2.363048043118e-05,117.0774574019285,3.062361031306949e-05,65.12178592504338,0.0003452473103879301,36.05446601901647
613.3001207729469,2.068900280421975e-05,151.0055262130452,2.13828045293788e-05,146.8027294597294,0.0005220779475450924,77.87635862953253
636.8885869565217,1.658052059728122e-05,119.3909829372421,6.762801679299741e-05,11.8481193995227,0.002233391359041566,66.08679301365004
660.4770531400966,4.670890513323188e-05,112.4348532247444,3.959613061666894e-05,6.900992479693147,0.002407070728753066,57.30033039674079
684.0655193236715,2.146071026115947e-05,157.5009730356763,3.803814695203625e-05,73.68895185668728,0.0004581822610178106,7.550276876632534
707.6539855072464,4.287715556779145e-05,1.363521711046212,7.317565269065295e-05,158.5825620255055,0.0006306743619716545,129.7180141581005
731.2424516908213,3.834341472141746e-05,19.3704834600172,3.8847580897849e-05,153.1211973598474,0.001323681147492973,9.288318064126926
754.8309178743962,2.265951137804408e-05,33.95812360309947,1.407493077949353e-05,144.9448123369954,0.002034535224120628,27.3710062955914
778.419384057971,2.666022303988454e-05,160.9974102434122,2.541810148234926e-05,23.84788496790334,0.0004428719821069786,42.63756876740096
802.007850241546,1.298802928486227e-05,68.45594811499164,4.736333481735326e-05,123.970974980031,0.0003214245728847949,153.6718220812194
825.5963164251208,2.565065065675352e-05,179.9383344954396,2.599258241748463e-05,51.21929685072469,0.0008722541450540188,148.9105350409796
849.1847826086957,6.118085656990062e-06,26.90417741799105,2.600265993852741e-05,135.2489114426031,0.002699545302931994,155.3959315335893
872.7732487922706,1.785005113485979e-05,127.5609770856106,6.325144142108578e-05,177.604502844588,0.001342762338148624,160.0406069736238
896.3617149758454,2.818251287944127e-05,45.32214313414654,6.4038118059469e-06,139.0527307546033,0.0001805039897092214,50.02692491816127
919.9501811594204,1.220468709546121e-05,27.47160172460442,3.634981031327625e-05,5.193154288753952,0.0005001384907628384,150.8726381935243
943.5386473429952,4.528677381786421e-05,179.5794823606115,1.346741085064038e-05,5.698321597307538,0.002123407624747902,130.2552413873535
967.12711352657,3.70007180841407e-05,163.3605447791307,3.712735177951716e-05,164.3032192757703,0.001571350688838914,131.687052186222
990.715579710145,5.33069954218525e-05,151.248506017979,1.480918661327575e-05,161.5705135594121,0.0002226378977373101,23.46218767667592
1014.30404589372,2.28082634433844e-05,137.6320978185202,2.15680171486745e-05,7.398079427491719,0.0002121519551671751,108.9922194603678
1037.892512077295,1.156916400413085e-05,50.07119739196413,8.812288832564323e-06,121.1247474384342,0.001429261340404802,97.69684948872647
1061.48097826087,3.140331276958973e-05,21.56676760996097,1.896159685082235e-05,158.9823359224014,0.00142713831955367,98.72920175504719
1085.069444444445,3.064380179728532e-05,64.87269996185181,2.647874884381597e-05,170.9608920773299,0.0001967009979133387,29.81639620164963
1108.657910628019,5.28908202383184e-05,34.61516182102775,2.991616255099923e-05,27.92838573945286,0.0001904349143814676,117.6319167573388
1132.246376811594,5.24484563959546e-06,119.5506488820266,3.878280300052224e-05,118.9823013955706,0.0009995202523713882,29.53136920313879
1155.834842995169,1.095499891843173e-05,164.4157752778456,8.981780307196401e-05,131.5703922197924,0.00122294044822607,46.88048442910372
1179.423309178744,4.620158196040609e-05,177.2764092832984,1.834127506703058e-05,73.19638725596266,0.0001254713106801221,33.53545193196359
1203.011775362319,2.410128692950158e-05,18.7116673642881,1.825675396287954e-05,79.72825511493004,0.0004587733328150736,14.94430190463403
1226.600241545894,1.608765082659244e-05,59.70356050640017,3.480229338206237e-05,163.773612448395,0.0002112010432978507,172.8108967688055
1250.188707729469,1.85115292098809e-05,152.1577564731416,2.091354091445419e-05,70.91716695876123,0.001261591444864509,179.9994147780671
