Time (s),OUT (V),IN (V),hand (V)
0.01104751927083333,-0.2548486376934464,-0.4203967902607135,0.01096499950412654
0.01104754427083333,-0.2460766356308996,-0.4162831526638853,0.01096499950412654
0.01104756927083334,-0.2460766356310073,-0.4080558774705152,0.01096499950412654
0.01104759427083333,-0.2504626366619775,-0.4101126962687872,0.01096499950412654
0.01104761927083333,-0.2526556371775414,-0.4101126962688461,0.01096499950412654
0.01104764427083333,-0.2482696361465712,-0.412169515067118,0.01096499950412654
0.01104766927083333,-0.2460766356309036,-0.4039422398737563,0.05233499366022845
0.01104769427083334,-0.2504626366621062,-0.4059990586723032,0.01096499950412654
0.01104771927083333,-0.2526556371775913,-0.4121695150671189,0.01096499950412654
0.01104774427083333,-0.2460766356308427,-0.4101126962687301,0.01096499950412654
0.01104776927083333,-0.2438836351153576,-0.4059990586721863,0.01096499950412654
0.01104779427083333,-0.2526556371776282,-0.4059990586721751,0.01096499950412654
0.01104781927083333,-0.2548486376931133,-0.4142263338652627,0.01096499950412654
0.01104784427083333,-0.2438836351153487,-0.4039422398737816,0.01096499950412654
0.01104786927083334,-0.241690634600019,-0.4142263338656293,0.01096499950518006
0.01104789427083333,-0.2526556371774447,-0.4183399714621732,0.05233499365975813
0.01104791927083333,-0.2460766356308876,-0.4265672466555152,0.05233499365981457
0.01104794427083333,-0.2460766356308876,-0.4162831526641557,0.01096499950523649
0.01104796927083333,-0.2438836351153177,-0.4162831526638872,0.01096499950412654
0.01104799427083334,-0.2460766356309544,-0.42039679026059,0.01096499950412654
0.01104801927083333,-0.2482696361464395,-0.42039679026059,0.01096499950412654
0.01104804427083333,-0.2482696361463388,-0.4224536090587918,0.01096499950489786
0.01104806927083333,-0.2416906345998834,-0.4142263338657042,0.05233499365947594
0.01104809427083333,-0.2416906345997697,-0.4142263338655386,0.05233499366037896
0.01104811927083333,-0.246076635630738,-0.4162831526638096,0.05233499366037896
0.01104814427083333,-0.2460766356308876,-0.4142263338655349,0.01096499950433347
0.01104816927083333,-0.2394976340842178,-0.4121695150671694,0.01096499950412654
0.01104819427083333,-0.2416906345997029,-0.4121695150671694,0.01096499950412654
0.01104821927083333,-0.2416906345998176,-0.4101126962688629,0.05233499366037896
0.01104824427083333,-0.24826963614627,-0.4142263338654049,0.05233499366037896
0.01104826927083333,-0.2438836351153137,-0.4121695150671694,0.01096499950412654
0.01104829427083334,-0.2373046335687178,-0.4080558774704002,0.01096499950531175
0.01104831927083333,-0.241690634599688,-0.4059990586721283,0.05233499365988982
0.01104834427083333,-0.2482696361463139,-0.4101126962687797,0.01096499950412654
0.01104836927083333,-0.2394976340843774,-0.4080558774705087,0.01096499950412654
0.01104839427083333,-0.237304633568625,-0.3957149646803282,0.05233499366017202
0.01104841927083334,-0.2438836351153875,-0.3957149646804667,0.01096499950412654
0.01104844427083333,-0.2460766356308726,-0.3998286022770105,0.01096499950412654
0.01104846927083333,-0.2394976340841181,-0.3998286022769487,0.01096499950502955
0.01104849427083333,-0.237304633568634,-0.3957149646804068,0.05233499365958882
0.01104851927083333,-0.2416906345997398,-0.3936581458819937,0.01096499950454042
0.01104854427083333,-0.2416906345997398,-0.3957149646802646,0.05233499365909968
0.01104856927083333,-0.2438836351153097,-0.3936581458819768,0.01096499950420179
0.01104859427083334,-0.2438836351151961,-0.3957149646800523,0.01096499950412654
0.01104861927083333,-0.2394976340842278,-0.3854308706886975,0.01096499950412654
0.01104864427083333,-0.2416906345998056,-0.3813172330919348,0.05233499366037896
0.01104866927083333,-0.2460766356307739,-0.3874876894867477,0.05233499366037896
0.01104869427083333,-0.2373046335685981,-0.3833740518901805,0.01096499950412654
0.01104871927083334,-0.2394976340842358,-0.3772035954951319,0.01096499950412654
0.01104874427083333,-0.2416906345997199,-0.3772035954951319,0.01096499950412654
0.01104876927083333,-0.2438836351152699,-0.381317233091801,0.05233499365955119
0.01104879427083333,-0.2416906345997857,-0.3792604142935301,0.01096499950499193
0.01104881927083333,-0.239497634084166,-0.3730899578984375,0.01096499950444635
0.01104884427083333,-0.239497634084166,-0.3751467766967094,0.05233499365902443
0.01104886927083333,-0.2416906345997309,-0.37308995789843,0.01096499950429585
0.01104889427083334,-0.2438836351150943,-0.3833740518904031,0.05233499366037896
0.01104891927083333,-0.2351116330531579,-0.391601327083487,0.05233499366037896
0.01104894427083333,-0.2394976340841939,-0.3813172330918946,0.0109649995046533
0.01104896927083333,-0.241690634599679,-0.3854308706884383,0.05233499365923137
0.01104899427083333,-0.239497634084162,-0.3854308706885488,0.05233499366034133
0.01104901927083334,-0.2351116330530841,-0.3813172330919039,0.01096499950536819
0.01104904427083333,-0.2373046335685682,-0.3833740518901749,0.05233499365992745
0.01104906927083333,-0.2394976340841271,-0.3833740518902703,0.01096499950412654
0.01104909427083333,-0.237304633568642,-0.3874876894868141,0.01096499950412654
0.01104911927083333,-0.2351116330530053,-0.3833740518901852,0.05233499366037896
0.01104914427083334,-0.2329186325375979,-0.3813172330919862,0.05233499366037896
0.01104916927083333,-0.2373046335685662,-0.3854308706885282,0.05233499366037896
0.01104919427083333,-0.2394976340840662,-0.3854308706885525,0.05233499366037896
0.01104921927083333,-0.235111633053096,-0.3854308706885525,0.05233499366037896
0.01104924427083333,-0.2329186325374922,-0.3792604142934646,0.01096499950457804
0.01104926927083333,-0.2373046335684625,-0.3772035954951927,0.05233499365915611
0.01104929427083333,-0.2373046335685921,-0.3813172330918385,0.01096499950416416
0.01104931927083334,-0.2351116330529574,-0.3792604142933159,0.05233499366037896
0.01104934427083333,-0.2329186325374722,-0.3730899578985001,0.05233499366037896
