Time (s),OUT (V),IN (V),hand (V)
-0.006857625,0.2846294891379907,0.2686375071883848,0.01096499950412654
-0.006856025,0.2034884700617573,0.3447398027275253,0.01096499950412654
-0.006854425,0.1245404515010618,0.4105580042749097,0.01096499950412654
-0.006852825,0.04559243294040818,0.4537511990403613,0.01096499950412654
-0.006851225000000001,-0.02019758252674831,0.4825466622173071,0.01096499950412654
-0.006849625000000001,-0.07282959490052736,0.4846034810156745,0.01096499950412654
-0.006848025000000001,-0.09914560108743782,0.4743193870238996,0.01096499950412654
-0.006846425000000001,-0.09695260057186394,0.437296648653507,0.01096499950412654
-0.006844825000000001,-0.1342336093366199,0.3879329974929834,0.01096499950412654
-0.006843225000000001,-0.1408126108833415,0.3180011583489084,0.01096499950412654
-0.006841625,-0.1232686067587505,0.2357284064147024,0.01096499950412654
-0.006840025,-0.08598759799399455,0.1411147416903656,0.01096499950412654
-0.006838425,-0.03554858613579537,0.04444425816767356,0.01096499950412654
-0.006836825,0.02804842881584708,-0.05633986295172872,0.01096499950412654
-0.006835225,0.1048034468609328,-0.1550671652727758,-0.03040499465212589
-0.006833625,0.225418475217496,-0.2476240111987575,-0.03040499465212589
-0.006832025,0.2758574870756952,-0.3298967631329635,-0.03040499465212589
-0.006830425,0.3394545020273377,-0.3957149646803282,-0.03040499465212589
-0.006828825,0.4140165195568495,-0.447135434639207,-0.03040499465212589
-0.006827225,0.4798065350240658,-0.475930897816179,-0.03040499465212589
-0.006825625,0.5368245484289866,-0.4903286294046651,-0.03040499465212589
-0.006824025,0.5828775592560381,-0.4779877166145342,-0.03040499465212589
-0.006822425,0.6157725669896462,-0.4491922534375621,-0.03040499465212589
-0.006820825,0.6705975798789932,-0.3998286022770385,-0.03040499465212589
-0.006819225,0.6486675747232544,-0.3360672195280289,-0.03040499465212589
-0.006817625,0.6113865659584795,-0.2517376487954285,-0.03040499465210707
-0.006816025000000001,0.5697195561626138,-0.1653512592645909,0.01096499950410772
-0.006814425000000001,0.5192805443044186,-0.06251031934684093,0.01096499950412654
-0.006812825000000001,0.4578765298683271,0.03621698297425297,0.01096499950412654
-0.006811225000000001,0.3855075128543891,0.1370011040936553,0.01096499950412654
-0.006809625000000001,0.3065594942937295,0.2254443124229266,0.01096499950412654
