Frequency (Hz),OUT (V),Phase (deg),IN (V),Phase (deg),hand (V),Phase (deg)
0,0.02489843821421475,0,0.0003251866923687625,0,0.02231669059118312,180
24.05326354679803,0.01063946578520846,178.69422419397,0.0004188823459363786,141.5169582684454,0.0103683208338805,61.73993773490088
48.10652709359606,0.0006639009574532345,112.1589551336952,0.0006516304225015043,105.6357109182353,0.02802072147691614,116.153762770716
72.15979064039408,0.0003080322370261613,101.1130927621501,0.0003937513289406574,117.1901526986336,0.01389766093585663,113.940266035358
96.21305418719211,8.020524043275203e-05,43.14896411379753,5.960232164588096e-05,55.23373955422703,0.0009822278608782116,69.00067608847588
120.2663177339901,7.458663920751261e-05,123.6529967171656,8.822015883516721e-05,166.8385194965395,0.001313634920703574,170.2283121557638
144.3195812807882,4.155316639435879e-05,56.9303069260559,6.085437215823424e-05,41.43684755247481,0.005104833204763494,8.921116469195319
168.3728448275862,3.139632385335712e-05,145.5130968741728,0.0001044149076420742,134.8947137877662,0.003094275537969506,7.776655121665967
192.4261083743842,4.957542283216768e-05,176.5048171970442,8.654260497271275e-05,41.25958286608102,0.0007067085155803013,135.0531204728723
216.4793719211823,2.911516606381278e-05,28.50964526347794,7.123164271707293e-05,154.7509716069489,0.001005882898494021,90.0040267254421
240.5326354679803,2.439760378565943e-05,150.5947417242866,8.62356604719203e-05,3.798774107308281,0.001388839525186131,64.58976293227755
264.5858990147783,5.421742980356703e-05,70.99800216417724,5.756779037337689e-05,15.71420348509466,0.001390556189773792,70.4787947090599
288.6391625615763,8.139908759197732e-05,141.8383819463967,5.852593500274104e-05,175.9821443435389,0.0008850449692569674,108.051321854571
312.6924261083744,3.538227169206629e-05,70.08288387893688,5.521945060755322e-05,152.6406468093119,0.0006655444004717659,141.1796625763496
336.7456896551724,8.989607274813524e-05,166.5165724028973,5.625759323369887e-05,6.90937433436237,0.002307051866843136,51.23614961649022
360.7989532019704,3.220186291793765e-05,40.23255895812471,8.115484224641428e-05,2.475242760650505,0.002174507286189592,47.25591722199165
384.8522167487685,3.408549453763371e-05,156.583848791972,4.822629339919657e-05,172.565353207385,5.358784459768803e-05,54.42552132931198
408.9054802955665,2.859736020059459e-05,121.7330603148861,8.60770153665479e-05,175.0957811992497,7.304389958157587e-05,65.70780984700515
432.9587438423645,7.682721589559326e-05,165.8660027982872,3.592035437762283e-05,164.6720412510129,0.001202819107230445,69.27357521904254
457.0120073891625,6.573081277824179e-05,7.510744865830655,6.946387748102181e-05,169.7097159551743,0.002034097385634313,72.94188920874886
481.0652709359606,2.414532525598963e-05,40.42447652049177,7.023921918376817e-05,171.8376273119364,0.0005822814499212616,92.68925505421748
505.1185344827586,1.854002220721612e-05,118.7889041339891,8.064987881579567e-05,16.94626728092393,0.0001471289563354561,154.2317623960233
529.1717980295566,8.974196335371926e-05,172.6602471326062,3.857622201453369e-05,38.4429183734193,0.001551355377163407,41.34943278587053
553.2250615763546,1.180767195116482e-05,135.2928180167797,7.961802688593752e-05,172.4091541698489,0.003098997776172291,37.44950577393718
577.2783251231526,4.444163298747891e-05,24.69743061900413,6.323767369364482e-05,164.9082009054436,0.00144390752629309,32.19953350217998
601.3315886699507,4.427693473344343e-05,166.0676039962401,8.07854773730987e-05,2.006835445957003,0.0004197640003513214,5.182278194734354
625.3848522167488,2.65441676385711e-05,3.059373725106211,4.003632512426015e-05,166.6489801741761,0.0007228208986493513,32.42019426917734
649.4381157635468,5.366291718518882e-05,165.3971426195025,8.179299572818767e-05,4.545718339215176,0.001740816853250171,26.54070032884687
