Frequency (Hz),OUT (V),Phase (deg),IN (V),Phase (deg)
0,0.008578886955669548,0,0.0007012620075338295,180
21.9946509009009,0.005719076750202973,176.3192996687355,0.0007786738878702793,42.72943475164572
43.9893018018018,0.001487613823316188,156.0676001598488,0.0007866918525663204,60.86178796759577
65.98395270270271,0.0004956280291510449,72.61447263575731,0.0005019157630278136,59.64990415330126
87.9786036036036,0.0001936411330119008,64.06517995280834,0.000174757312501691,40.83868877350068
109.9732545045045,3.834969077578794e-05,123.6258611027706,8.018612462253692e-05,160.4539896275808
131.9679054054054,3.389445961924479e-05,21.42335987765353,8.492529506971113e-05,126.643607748322
153.9625563063063,5.59647739438897e-05,64.32297958976508,6.436608356708813e-05,88.86513649580814
175.9572072072072,4.540820304382405e-05,82.79423847539242,3.177300126862267e-05,57.88455792280617
197.9518581081081,2.260655903823249e-05,155.2528159233588,3.954112815519264e-05,8.246320695564652
219.946509009009,3.007329514728061e-05,17.25182396177971,8.245343807784739e-05,26.82506035228332
241.9411599099099,1.751163347223059e-05,21.45703236222379,6.45196028387915e-05,52.61855134251555
263.9358108108108,9.847385922424437e-06,44.07262332778572,3.424889252490816e-05,94.9778771133137
285.9304617117117,1.07593768647803e-05,111.4983978408133,3.458933877380174e-05,142.6511497016059
307.9251126126126,2.763155837292088e-05,11.19997531713017,4.272671441773031e-05,146.8062087443151
329.9197635135135,4.888177902061164e-05,45.26033520165178,3.490204425023883e-05,113.725171542064
351.9144144144144,5.196587423829944e-05,75.45489784973569,4.168556991396291e-05,84.36450380505207
373.9090653153153,4.609595396584862e-05,105.1452615737587,2.992839235216849e-05,95.8537163509347
395.9037162162162,2.686611125673976e-05,119.6137135361452,1.22515952774026e-05,54.19761769768254
417.8983671171171,6.091835140005591e-06,8.501184129842995,4.967338812705619e-05,88.37578431831678
439.893018018018,2.678033178032329e-05,11.60295186955938,6.984089681598312e-05,87.59476536418649
461.8876689189189,4.266347939666248e-05,34.76369632703037,6.505641737237361e-05,82.45464159624576
483.8823198198198,3.860767281409761e-05,42.7638699367243,3.822970185273897e-05,81.8353291297087
505.8769707207207,3.213005172769325e-05,57.52955968500888,1.494024636697616e-05,80.28587283341774
527.8716216216217,3.738009650518738e-05,79.6237580209522,1.243350807506686e-05,164.0509222227259
549.8662725225225,3.213965888367114e-05,112.4579384054064,5.37301877318089e-05,2.405251442106927
571.8609234234234,2.343007313893701e-05,178.4864486331415,7.952155478657872e-05,178.2266027499365
593.8555743243243,3.015272327868729e-05,73.86394909682211,5.531255387073138e-05,174.5096084195334
615.8502252252252,4.927392490669062e-05,107.6985469624087,7.712890239534036e-06,133.869346389434
637.8448761261261,5.344964684623056e-05,121.7787372602868,3.949896981989882e-05,31.03839885290785
659.839527027027,4.35955419622785e-05,149.1300683947243,6.115532500401935e-05,30.97598341396945
681.834177927928,4.429534961437656e-05,178.1529796215405,5.422839405260461e-05,26.6030033766527
703.8288288288288,3.972278695289653e-05,1.558329832802627,1.397819854117664e-05,23.9385295545626
725.8234797297297,1.522541082345424e-05,162.6943763956963,3.961118323006821e-05,31.14829701656197
747.8181306306307,1.740897177128008e-05,13.09000461551582,6.182963450461032e-05,26.50860716832938
769.8127815315315,2.736358289998199e-05,0.4144449240134377,5.27109363647094e-05,8.063715707382059
791.8074324324324,1.812346076642972e-05,37.28754968436203,4.472586901989165e-05,170.2417724515665
813.8020833333334,3.363007772417061e-05,90.86882626035535,3.770296508709477e-05,169.9510864647117
835.7967342342342,5.699939175096216e-05,95.46401810724763,3.305249245366057e-05,5.102129890660431
857.7913851351351,7.659115798341524e-05,99.25552702956226,2.550910621924797e-05,29.13610903227806
879.786036036036,6.747485891352252e-05,110.0299816503281,1.435426695407188e-05,96.36033219189517
901.7806869369369,2.54617439612557e-05,134.277429332909,1.700954170640365e-05,119.5171072115429
923.7753378378378,6.184632068219087e-06,92.44003661776838,2.169566645583255e-05,54.16532658097378
945.7699887387387,1.981675879471828e-05,33.29482573251682,2.8686934488949e-05,19.12980984328487
967.7646396396397,3.621529162548094e-05,36.43984198000839,3.066500906896734e-05,146.3371067303493
989.7592905405405,3.114094379517531e-05,0.3624589051962741,3.857665338976556e-05,121.1480228739709
1011.753941441441,2.983750599175143e-05,139.9814166379896,3.231615957521201e-05,114.4247160942305
1033.748592342342,2.559924936122774e-05,135.7336459122016,3.490601541061095e-05,102.1491857784852
1055.743243243243,2.892642290684162e-06,73.62095598076719,2.899265813042356e-05,89.6020478545813
1077.737894144144,3.89187812412474e-05,149.7490027919673,4.162750477969412e-06,26.59153989263201
1099.732545045045,4.441062238867046e-05,130.346460536689,1.690428111652869e-05,64.36572845007802
1121.727195945946,3.583336077148217e-05,83.33785625498197,1.907995973460659e-05,27.42346890261972
1143.721846846847,3.091798902820012e-05,59.21993346196539,1.817804965807605e-05,108.8217572338044
1165.716497747748,1.477353223973732e-05,17.46442845243988,3.03615841038404e-05,77.5389085490911
1187.711148648649,2.483504041110687e-05,129.0714309303693,9.669030868403891e-06,102.3550006949992
1209.70579954955,2.625361111081676e-05,138.2162236962554,2.463352245411505e-05,30.32209749855949
1231.70045045045,2.883997123052448e-05,35.89384413035751,3.001419796976658e-05,38.20228971079656
1253.695101351351,5.148580612897306e-05,72.69139950085635,2.662746705113193e-05,82.51906258053073
1275.689752252252,4.535024788803757e-05,106.8833051287271,3.216987348663906e-05,98.43474502561556
1297.684403153153,3.802942267305159e-05,166.0478213195534,1.950070838023651e-05,46.27217701516046
1319.679054054054,3.025505533578762e-05,10.87584124030966,2.805902846504052e-05,7.682726742193525
1341.673704954955,5.994291294680228e-06,127.3125575336433,3.151720276396273e-05,30.07459670634974
1363.668355855856,1.345328394030698e-05,21.58496861935797,3.361873723308961e-05,22.52589664256782
1385.663006756757,6.568285985033499e-06,105.8576498295699,3.433481787623989e-05,177.2767248563363
1407.657657657658,1.761053399879807e-05,37.5873769904485,2.579924967416493e-05,163.2832186256754
1429.652308558559,4.531453278013442e-06,66.13192325225347,2.157083624353191e-05,141.4245087260661
1451.646959459459,1.873451696480497e-05,20.52968057419572,2.05503870061464e-05,126.3701691050103
1473.64161036036,2.769831666925983e-05,54.3790871836754,9.932057309709527e-06,72.09527208064796
1495.636261261261,3.899886684478367e-05,89.72959713163802,1.682310661094855e-05,176.7996531783481
1517.630912162162,3.3096468320091e-05,125.4144185684002,2.211396783914592e-05,1.294409078973758
1539.625563063063,3.633125349715756e-05,18.23206264478273,4.133817712909941e-05,31.10337617498319
1561.620213963964,4.023043364882935e-05,42.32519190368521,5.965061707568559e-05,39.4296101013972
1583.614864864865,7.248577101265365e-06,90.37831339805581,4.737413604481223e-05,43.84566383475043
1605.609515765766,2.979706550410038e-05,16.0255505209948,2.4000797412381e-05,78.26056134826368
1627.604166666667,2.934897299336671e-05,8.691592852654248,3.140912632399126e-05,148.4002978868902
1649.598817567567,1.041875156464154e-05,167.787289420508,3.479502299791234e-05,170.7848427776915
1671.593468468468,5.9465808629916e-06,86.41553450883714,1.821033876320062e-05,164.3561601434337
1693.588119369369,1.37323752721271e-05,136.4421723693729,1.624324431650879e-05,125.2588220765377
1715.58277027027,2.454015447816349e-05,160.5597365469669,1.968696360419407e-05,177.5527401514706
1737.577421171171,3.01349318932177e-05,12.78676692099979,4.272413847805729e-05,47.48353515808554
