Time (s),OUT (V),IN (V)
0.03084751736024231,0.817528614422441,-0.971624228219798
0.03085004236024232,0.8197216149377875,-0.9407719462443622
0.03085256736024231,0.5675265556471356,-0.8523287379152115
0.03085509236024232,0.01050442469125107,-0.718635516022008
0.03085761736024231,-0.0004605778866033569,-0.5458627369604112
0.03086014236024232,-0.002653578402187207,-0.3401808571246372
0.03086266736024232,-0.002653578402187207,-0.1159876081039223
0.03086519236024231,-0.002653578402187207,0.1164329161101038
0.03086771736024231,-0.1912516227415407,0.340626165130815
0.03087024236024231,-0.6605537330743504,0.548364863764685
0.03087276736024231,-0.6583607325587766,0.7231944616248726
0.03087529236024231,-0.6561677320432027,0.8568876835179572
0.03087781736024231,-0.6561677320432027,0.9432740730488341
0.03088034236024231,-0.6561677320432027,0.9741263550241868
0.03088286736024232,-0.6342377268869454,0.9535581670405801
0.03088539236024231,-0.06405759283851498,0.8774558715015434
0.03088791736024232,0.001732422628960548,0.749933106003338
0.03089044236024231,0.001732422628960548,0.583330783336874
0.03089296736024232,0.00173242262895955,0.3797057222994618
0.03089549236024231,-0.0004605778866113353,0.1575692920774088
0.03089801736024231,-0.002653578401977782,-0.07485123213702886
0.03090054236024231,0.4578765298683271,-0.3031581187543466
0.03090306736024231,0.5039295406953785,-0.5108968173882166
0.03090559236024231,0.5039295406953785,-0.6918968716434697
0.03090811736024231,0.5039295406953785,-0.8317605499316199
0.03091064236024231,0.5039295406953785,-0.9284310334543118
0.03091316736024231,0.5039295406953785,-0.9716242282197503
0.03091569236024232,0.2232254747017187,-0.9592833154295811
0.03091821736024231,-0.0004605778865116039,-0.8955219326806584
0.03092074236024232,-0.0004605778866133298,-0.7762264423758868
0.03092326736024231,-0.0004605778866133298,-0.6178513949028284
0.03092579236024232,-0.0004605778866133298,-0.4245104278572002
0.03092831736024231,-0.0004605778866133298,-0.2044308164334996
0.03093084236024232,-0.1583566150079954,0.0238760701842259
0.03093336736024231,-0.2965156474890858,0.2521829568016418
0.03093589236024231,-0.2943226469735129,0.4681489306288342
0.03093841736024231,-0.2943226469735129,0.6573762600775078
0.03094094236024231,-0.2943226469735129,0.8095808511557888
0.03094346736024231,-0.292129646457939,0.9144786098719014
0.03094599236024231,-0.2263396309907227,0.9700127174274904
0.03094851736024231,-0.009232579949007558,0.9679558986291361
0.03095104236024231,-0.0004605778866173197,0.9103649722752173
0.03095356736024232,-0.0004605778866133298,0.8054672135589401
0.03095609236024231,-0.0004605778866133298,0.6532626224808666
0.03095861736024232,-0.0004605778866073463,0.4640352930320257
0.03096114236024231,0.01269742520681797,0.2480693192050297
0.03096366736024232,0.1157684494388022,0.01976243258730796
0.03096619236024231,0.1157684494388022,-0.2085444540298021
0.03096871736024231,0.1157684494388022,-0.4306808842524528
0.03097124236024231,0.1157684494388022,-0.6219650324993946
0.03097376736024231,0.1157684494388022,-0.7803400799727411
0.03097629236024231,0.1157684494388022,-0.8955219326806294
0.03097881736024231,0.02804842881584708,-0.9592833154296391
0.03098134236024231,-0.0004605778866133298,-0.9695674094214147
0.03098386736024231,-0.0004605778866133298,-0.9263742146559764
0.03098639236024232,-0.002653578402187207,-0.831760549931489
0.03098891736024231,-0.002653578402187207,-0.687783234046825
0.03099144236024232,-0.002653578402093465,-0.5067831797913155
0.03099396736024231,0.1004174458296913,-0.2969876623594719
0.03099649236024232,0.1135754489232283,-0.06868077574175484
0.03099901736024231,0.1135754489232283,0.1616829296737075
0.03100154236024232,0.1135754489232283,0.3838193598963638
0.03100406736024231,0.1135754489232283,0.5833307833367982
0.03100659236024231,0.1135754489232283,0.7499331060034895
0.03100911736024231,0.06313643706502911,0.8774558715015087
0.03101164236024231,-0.002653578402187207,0.949444529443939
0.03101416736024231,-0.0004605778866133298,0.9720695362258456
0.03101669236024231,-0.0004605778866133298,0.9391604354521782
0.03101921736024231,-0.0004605778866133298,0.8527740459212863
0.03102174236024231,-0.0004605778866133298,0.7190808240282232
0.03102426736024232,-0.143005611399053,0.5421944073694344
0.03102679236024231,-0.2943226469734441,0.3385693463325524
0.03102931736024232,-0.2943226469735119,0.1143760973116429
0.03103184236024231,-0.292129646457941,-0.1180444269021718
0.03103436736024232,-0.2943226469735129,-0.3422376759231879
0.03103689236024232,-0.294322646973495,-0.5479195557586879
0.03103941736024231,-0.2548486376930724,-0.7206923348205035
0.03104194236024231,-0.01142558046448272,-0.8564423755118816
0.03104446736024231,-0.002653578402187207,-0.9428287650427979
0.03104699236024231,-0.0004605778866133298,-0.9716242282197699
0.03104951736024231,-0.0004605778866133298,-0.9510560402362185
0.03105204236024231,-0.0004605778866133298,-0.8749537446971126
0.03105456736024231,0.04339943242484428,-0.7494877979974709
0.03105709236024232,0.5039295406953765,-0.5828854753304672
0.03105961736024231,0.5017365401798056,-0.3854308706886422
0.03106214236024232,0.5017365401798046,-0.1632944404659851
0.03106466736024231,0.5017365401798046,0.06912608374772397
0.03106719236024232,0.5039295406953785,0.295376151567098
0.03106971736024231,0.5039295406953785,0.5072284877973894
0.03107224236024232,0.1420844556256259,0.6923421796496099
0.03107476736024231,0.003925423144533428,0.8342626767360937
0.03107729236024231,0.001732422628960548,0.9288763414603874
0.03107981736024231,0.001732422628960548,0.9720695362258456
0.03108234236024231,-0.0004605778866133298,0.9597286234357146
0.03108486736024231,-0.0004605778866133298,0.8959672406867051
0.03108739236024231,-0.4785346902815013,0.7766717503821607
0.03108991736024232,-0.6605537330743484,0.6182967029085842
0.03109244236024231,-0.6583607325587776,0.424955735863464
0.03109496736024232,-0.6583607325587766,0.2048761244391656
0.03109749236024231,-0.6583607325587766,-0.02548758097629675
0.03110001736024232,-0.6605537330742417,-0.2537944675939202
0.03110254236024231,-0.4215166768770152,-0.4677036226225639
0.03110506736024232,-0.00265357840218621,-0.6548741332731461
0.03110759236024232,-0.0004605778866133298,-0.8070787243514058
0.03111011736024231,-0.0004605778866133298,-0.9119764830674706
0.03111264236024231,-0.0004605778866133298,-0.9654537718247045
0.03111516736024231,-0.0004605778866133298,-0.9654537718247045
0.03111769236024231,0.2846294891379907,-0.9119764830674706
0.03112021736024231,0.817528614422443,-0.8050219055530029
0.03112274236024231,0.817528614422443,-0.6528173144747911
0.03112526736024231,0.817528614422443,-0.4677036226228426
0.03112779236024232,0.817528614422443,-0.2496808299969069
0.03113031736024231,0.817528614422443,-0.02343076217814924
0.03113284236024232,0.7736686041103192,0.2069329432379286
0.03113536736024231,0.0631364370656754,0.4249557358631778
0.03113789236024232,0.00173242262895955,0.618296702908833
0.03114041736024231,-0.0004605778866113353,0.7787285691803157
0.03114294236024231,-0.0004605778866133298,0.8918536030900256
0.03114546736024231,-0.0004605778866133298,0.9597286234357146
0.03114799236024231,-0.0004605778866133298,0.9700127174274904
0.03115051736024231,-0.9083627913341986,0.9247627038636772
0.03115304236024231,-0.9215207944276419,0.8301490391393404
0.03115556736024231,-0.9215207944276419,0.6861717232544799
0.03115809236024231,-0.9215207944276419,0.5051716689993091
0.03116061736024232,-0.9215207944276419,0.2933193327684408
0.03116314236024231,-0.9215207944276419,0.0670692649496831
0.03116566736024232,-0.3513406603781146,-0.1612376216680452
0.03116819236024231,-0.0004605778869324895,-0.3854308706883486
0.03117071736024232,-0.0004605778866143271,-0.5828854753307235
0.03117324236024231,-0.002653578402185213,-0.7515446167956156
0.03117576736024232,-0.002653578402187207,-0.8770105634954677
0.03117829236024231,-0.002653578401906977,-0.9531128590345829
0.03118081736024231,0.6135795664740724,-0.9736810470181251
0.03118334236024231,1.010512659792944,-0.9387151274460875
0.03118586736024231,1.010512659792944,-0.8523287379151713
0.03118839236024231,1.010512659792944,-0.7186355160220866
0.03119091736024231,1.010512659792944,-0.5458627369602541
0.03119344236024231,1.008319659277371,-0.342237675923187
